cruiseid  lat        lon         date       year  month  day  yrday_gmt  depth  sigma_0  temp       sal        Abundance_e9312  Standard_Deviation_e9312  Abundance_eMED4  Standard_Deviation_eMED4  Abundance_NATL  Standard_Deviation_eNATL  Abundancee_SS120  Standard_Deviation_eSS120  Abundancee_9313  Standard_Deviation_e9313  
141       22.75      -158        11/04/02   2002  11     04   26524800   5      23.1685  26.0069    35.1790    2.06E+05         nd                        8.82E+02         nd                        1.43E+01        nd                        8.33E-01          2.12E-01                   6.50E-01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   25     23.1895  25.9387    35.1765    1.94E+05         nd                        6.33E+02         nd                        1.96E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   45     23.1940  25.9362    35.1799    1.97E+05         nd                        8.91E+02         nd                        1.87E+01        nd                        8.27E-01          3.55E-01                   6.91E-01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   60     23.2465  25.8805    35.2247    1.58E+05         nd                        5.01E+02         nd                        1.12E+01        nd                        8.73E-01          4.47E-01                   6.50E-01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   75     23.5770  24.8565    35.2450    8.45E+04         nd                        1.03E+02         nd                        1.50E+02        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   85     23.8985  23.7602    35.2368    7.33E+04         nd                        1.35E+03         nd                        2.85E+03        nd                        8.54E+00          5.11E+00                   1.07E+00         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   100    24.2285  22.7647    35.2896    1.39E+04         nd                        2.00E+02         nd                        7.84E+03        nd                        6.50E+02          2.08E+02                   4.31E+01         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   115    24.4205  22.1376    35.3066    1.35E+03         nd                        1.77E+01         nd                        1.59E+03        nd                        9.52E+02          2.95E+02                   1.11E+03         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   125    24.5240  21.7787    35.3106    6.99E+02         nd                        6.85E+00         nd                        6.40E+02        nd                        2.88E+03          1.42E+03                   1.85E+03         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   150    24.7320  20.9004    35.2652    7.30E+01         nd                        3.22E-01         nd                        2.42E+01        nd                        1.34E+02          1.19E+02                   1.19E+02         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   175    24.9140  19.9041    35.1538    1.19E+03         nd                        7.00E+00         nd                        2.54E+01        nd                        5.15E+00          1.35E+00                   1.11E+02         nd                        
141       22.75      -158        11/04/02   2002  11     04   26524800   200    25.0940  18.7631    35.0031    1.86E+03         nd                        7.19E+00         nd                        3.30E+01        nd                        7.11E+00          2.71E+00                   2.89E+01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   5      23.4260  25.3659    35.2570    1.57E+05         nd                        1.77E+03         nd                        2.96E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   25     23.4575  25.3182    35.2777    1.22E+05         nd                        1.44E+03         nd                        4.40E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   45     23.4720  25.2972    35.2868    1.64E+05         nd                        1.64E+03         nd                        7.29E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   60     23.4925  25.2626    35.2988    1.49E+05         nd                        1.75E+03         nd                        5.81E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   75     23.5430  25.1201    35.3059    1.45E+05         nd                        1.38E+03         nd                        2.49E+02        nd                        6.50E-01          0.00E+00                   2.37E+00         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   85     23.6745  24.6757    35.3012    1.15E+05         nd                        1.62E+03         nd                        5.51E+02        nd                        4.84E+00          4.82E+00                   3.81E+00         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   100    24.1210  23.1496    35.2937    5.84E+04         nd                        1.78E+03         nd                        2.70E+03        nd                        4.99E+02          4.49E+02                   4.23E+01         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   115    24.4125  22.1129    35.2875    1.77E+03         nd                        1.05E+02         nd                        1.18E+03        nd                        2.11E+01          2.39E+01                   3.69E+02         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   125    24.5385  21.6145    35.2700    1.31E+03         nd                        9.64E+01         nd                        1.39E+03        nd                        4.36E+02          2.54E+02                   3.75E+02         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   150    24.7590  20.7165    35.2348    1.07E+02         nd                        8.34E-01         nd                        9.64E+00        nd                        6.08E+01          3.53E+01                   2.29E+02         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   175    24.9235  19.8489    35.1471    2.39E+03         nd                        2.91E+01         nd                        5.14E+01        nd                        6.50E-01          0.00E+00                   1.20E+02         nd                        
142       22.75      -158        11/25/02   2002  11     25   28339200   200    25.0920  18.6980    34.9791    1.27E+02         nd                        1.26E+00         nd                        1.54E+01        nd                        4.72E+01          5.81E+01                   2.17E+02         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   5      23.7455  24.4617    35.3170    1.39E+05         nd                        1.49E+03         nd                        1.22E+02        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   25     23.7550  24.4478    35.3224    1.36E+05         nd                        1.34E+03         nd                        1.01E+02        nd                        6.50E-01          0.00E+00                   1.11E+00         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   45     23.7950  24.3665    35.3416    1.73E+05         nd                        1.50E+03         nd                        1.34E+02        nd                        6.50E-01          0.00E+00                   9.52E-01         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   60     23.8170  24.3168    35.3496    1.35E+05         nd                        1.39E+03         nd                        1.49E+02        nd                        6.50E-01          0.00E+00                   2.76E+00         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   75     23.8380  24.2645    35.3547    1.58E+05         nd                        1.37E+03         nd                        1.31E+02        nd                        6.50E-01          0.00E+00                   1.97E+00         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   85     23.8640  24.1972    35.3622    1.16E+05         nd                        1.13E+03         nd                        3.15E+02        nd                        6.50E-01          0.00E+00                   1.19E+01         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   100    24.0475  23.5621    35.3558    8.70E+03         nd                        3.13E+02         nd                        3.14E+03        nd                        2.35E+03          1.59E+03                   1.43E+03         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   115    24.2755  22.7029    35.3277    1.51E+03         nd                        4.60E+01         nd                        1.81E+03        nd                        7.66E+01          5.73E+01                   1.18E+03         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   125    24.4490  21.9937    35.2906    8.45E+03         nd                        1.24E+02         nd                        9.19E+02        nd                        6.69E+02          4.72E+02                   1.18E+03         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   150    24.7345  20.7702    35.2216    3.41E+01         nd                        4.84E-01         nd                        6.32E+01        nd                        1.69E+02          1.01E+02                   5.75E+02         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   175    24.9195  19.8144    35.1298    3.33E+02         nd                        4.51E+00         nd                        2.08E+01        nd                        6.50E-01          0.00E+00                   1.04E+02         nd                        
143       22.75      -158        12/19/02   2002  12     19   30412800   200    25.0970  18.7473    35.0022    4.17E+02         nd                        6.80E+00         nd                        1.39E+01        nd                        6.50E-01          0.00E+00                   2.77E+01         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   5      23.9970  23.6802    35.3424    1.37E+05         nd                        4.47E+02         nd                        3.22E+02        nd                        8.89E+00          6.39E+00                   1.07E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   25     23.9955  23.6892    35.3422    1.67E+05         nd                        4.49E+02         nd                        4.18E+02        nd                        6.50E-01          0.00E+00                   8.74E+01         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   45     23.9955  23.6925    35.3419    9.28E+04         nd                        3.96E+02         nd                        1.54E+02        nd                        5.94E+00          4.44E+00                   9.81E+01         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   60     23.9960  23.6929    35.3420    8.92E+04         nd                        6.51E+02         nd                        1.56E+02        nd                        1.42E+01          9.95E+00                   1.02E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   75     23.9975  23.6922    35.3420    8.08E+04         nd                        9.50E+02         nd                        2.09E+02        nd                        6.86E-01          9.20E-01                   6.35E+01         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   85     23.9980  23.6924    35.3420    1.19E+05         nd                        1.20E+03         nd                        3.04E+02        nd                        1.70E+01          1.59E+01                   1.17E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   100    24.0005  23.6859    35.3419    1.64E+05         nd                        1.09E+03         nd                        3.19E+02        nd                        1.27E+01          1.11E+01                   1.16E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   115    24.1570  23.1363    35.3350    5.73E+04         nd                        3.98E+02         nd                        4.62E+02        nd                        6.47E+00          7.80E+00                   8.44E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   125    24.3380  22.4737    35.3224    4.43E+03         nd                        3.32E+01         nd                        1.42E+03        nd                        1.66E+03          1.24E+03                   4.07E+03         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   150    24.6770  21.0699    35.2532    9.39E+01         nd                        4.61E-01         nd                        8.66E+01        nd                        1.96E+02          1.48E+02                   1.17E+03         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   175    24.8980  19.9338    35.1427    4.25E+03         nd                        3.51E+01         nd                        4.02E+01        nd                        9.61E-01          7.35E-01                   2.12E+02         nd                        
144       22.75      -158        01/17/03   2003  01     17   32918400   200    25.0915  18.6852    34.9744    3.36E+01         nd                        6.50E-01         nd                        1.47E+00        nd                        1.49E+00          1.14E+00                   4.20E+01         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   5      24.0725  23.3777    35.3247    1.06E+05         nd                        8.73E+02         nd                        6.66E+01        nd                        1.83E+00          2.36E+00                   6.50E-01         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   25     24.0920  23.3081    35.3223    1.32E+05         nd                        1.61E+03         nd                        2.37E+02        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   45     24.1365  23.1419    35.3158    1.23E+05         nd                        6.83E+02         nd                        3.45E+02        nd                        3.92E+01          3.33E+01                   4.67E+00         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   60     24.1755  23.0146    35.3176    1.26E+05         nd                        6.45E+02         nd                        1.81E+02        nd                        2.35E+01          1.74E+01                   4.57E+00         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   75     24.2120  22.9064    35.3235    1.26E+05         nd                        8.57E+02         nd                        1.16E+02        nd                        6.50E-01          0.00E+00                   4.06E+00         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   85     24.2360  22.8389    35.3290    1.06E+05         nd                        1.15E+03         nd                        2.91E+03        nd                        1.54E+03          1.07E+03                   8.44E+02         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   100    24.3015  22.6389    35.3381    7.55E+04         nd                        8.31E+02         nd                        2.15E+03        nd                        4.69E+02          6.63E+02                   1.05E+03         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   115    24.3815  22.3515    35.3353    1.13E+04         nd                        1.77E+02         nd                        2.55E+03        nd                        8.32E+01          1.22E+02                   1.45E+03         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   125    24.4665  22.0099    35.3202    4.91E+03         nd                        7.19E+01         nd                        1.41E+03        nd                        2.14E+03          1.51E+03                   2.72E+03         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   150    24.7180  20.8716    35.2368    4.75E+03         nd                        3.67E+01         nd                        2.06E+02        nd                        5.36E+02          6.30E+02                   1.20E+03         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   175    24.9140  19.8472    35.1345    1.94E+02         nd                        3.18E+00         nd                        1.65E+02        nd                        1.40E+01          1.69E+01                   8.11E+02         nd                        
145       22.75      -158        02/26/03   2003  02     26   36374400   200    25.0780  18.8228    35.0021    7.63E+01         nd                        0.00E+00         nd                        7.25E+00        nd                        5.19E+01          2.38E+01                   3.17E+02         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   5      23.9810  23.6399    35.3054    1.67E+05         nd                        5.11E+02         nd                        5.11E+00        nd                        6.50E-01          7.60E-01                   6.50E-01         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   25     24.0020  23.5850    35.3110    1.47E+05         nd                        7.07E+02         nd                        6.37E+00        nd                        6.50E-01          0.00E+00                   3.43E+00         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   45     24.1180  23.2814    35.3451    1.40E+05         nd                        1.17E+03         nd                        1.14E+02        nd                        5.91E+02          3.18E+02                   4.75E+00         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   60     24.1890  23.0957    35.3666    1.51E+05         nd                        8.91E+02         nd                        1.39E+02        nd                        1.24E+03          2.17E+03                   1.11E+01         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   75     24.2430  22.9343    35.3754    1.57E+05         nd                        1.23E+03         nd                        6.63E+02        nd                        3.37E+02          9.56E+01                   1.13E+01         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   85     24.2830  22.7935    35.3740    9.45E+04         nd                        6.84E+02         nd                        1.18E+03        nd                        1.97E+03          9.63E+02                   6.97E+01         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   100    24.3615  22.4989    35.3652    3.34E+04         nd                        2.01E+02         nd                        7.19E+03        nd                        6.50E-01          5.81E+01                   1.54E+03         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   115    24.4575  22.1215    35.3500    4.83E+03         nd                        3.93E+01         nd                        2.46E+03        nd                        6.50E-01          0.00E+00                   4.14E+03         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   125    24.5305  21.8308    35.3382    1.06E+04         nd                        5.30E+01         nd                        2.46E+03        nd                        6.50E-01          2.24E-01                   5.05E+03         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   150    24.7140  21.0029    35.2774    4.37E+02         nd                        1.16E+01         nd                        2.19E+02        nd                        6.50E-01          0.00E+00                   3.01E+03         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   175    24.8820  20.0620    35.1661    1.28E+03         nd                        7.31E+00         nd                        3.84E+01        nd                        6.50E-01          0.00E+00                   1.10E+01         nd                        
146       22.75      -158        03/29/03   2003  03     29   39052800   200    25.0745  18.8162    34.9956    7.71E+01         nd                        1.85E+00         nd                        8.44E+00        nd                        6.50E-01          0.00E+00                   1.90E+02         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   5      23.4695  24.6822    35.0396    4.77E+04         nd                        5.28E+02         nd                        6.50E-01        nd                        8.47E+00          5.68E+00                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   25     23.4735  24.6774    35.0414    4.83E+04         nd                        5.12E+02         nd                        1.35E+00        nd                        1.66E+00          1.48E+00                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   45     23.5055  24.6132    35.0563    6.02E+04         nd                        8.54E+02         nd                        7.27E+00        nd                        1.99E+00          2.27E+00                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   60     23.9595  23.7074    35.2986    7.92E+04         nd                        8.51E+02         nd                        6.18E+00        nd                        8.92E+00          5.50E-01                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   75     24.2305  22.9507    35.3646    5.76E+04         nd                        2.53E+03         nd                        9.61E+00        nd                        1.24E+01          1.31E-01                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   85     24.4380  22.1749    35.3459    9.78E+04         nd                        4.64E+03         nd                        1.55E+02        nd                        6.12E+00          1.37E-01                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   100    24.7120  21.0371    35.2910    9.24E+04         nd                        7.19E+03         nd                        9.40E+02        nd                        1.19E+01          5.87E+00                   6.50E-01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   115    24.8345  20.4120    35.2294    2.73E+04         nd                        4.15E+03         nd                        1.56E+04        nd                        1.78E+02          1.09E+02                   1.18E+00         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   125    24.9040  20.0205    35.1844    3.71E+03         nd                        4.99E+02         nd                        2.09E+04        nd                        2.69E+03          2.65E+02                   7.61E+01         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   150    25.0645  18.9648    35.0346    1.82E+02         nd                        1.56E+01         nd                        1.22E+03        nd                        5.60E+03          4.61E+03                   1.36E+03         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   175    25.2150  17.8612    34.8705    1.68E+02         nd                        1.89E+01         nd                        4.58E+02        nd                        1.03E+03          7.60E+01                   8.49E+02         nd                        
147       22.75      -158        04/24/03   2003  04     24   41299200   200    25.3930  16.5086    34.6811    4.00E+01         nd                        1.60E+00         nd                        3.40E+00        nd                        8.03E+01          1.03E+01                   1.56E+02         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   5      23.3220  25.2004    35.0524    1.60E+05         nd                        2.25E+02         nd                        2.67E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   25     23.3470  25.0829    35.0369    1.61E+05         nd                        3.24E+02         nd                        1.08E+00        nd                        6.50E-01          0.00E+00                   3.07E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   45     23.4750  24.6873    35.0455    1.67E+05         nd                        1.98E+02         nd                        1.84E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   60     23.6470  24.2782    35.1093    1.87E+05         nd                        4.24E+02         nd                        1.19E+00        nd                        1.43E+00          1.56E+00                   5.64E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   75     23.8530  23.7572    35.1769    2.50E+05         nd                        8.03E+02         nd                        2.03E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   85     24.0110  23.3774    35.2379    1.50E+05         nd                        6.76E+02         nd                        9.73E+01        nd                        6.76E-01          5.26E-02                   4.24E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   100    24.2030  22.8592    35.2916    1.47E+05         nd                        6.88E+02         nd                        1.22E+03        nd                        7.02E+02          3.67E+02                   5.22E-01         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   115    24.3610  22.3472    35.3062    7.66E+04         nd                        8.75E+02         nd                        4.36E+03        nd                        1.15E+03          5.05E+02                   3.68E+02         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   125    24.4625  21.9824    35.3044    1.82E+04         nd                        2.77E+02         nd                        4.45E+03        nd                        1.47E+03          2.94E+03                   2.20E+03         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   150    24.6795  21.0499    35.2490    5.27E+02         nd                        6.04E+00         nd                        1.77E+03        nd                        2.80E+03          3.23E+03                   1.79E+03         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   175    24.8610  20.1894    35.1829    3.06E+02         nd                        5.34E+00         nd                        5.18E+02        nd                        5.60E+01          2.79E+01                   8.81E+02         nd                        
148       22.75      -158        05/21/03   2003  05     21   43632000   200    25.0290  19.1866    35.0590    2.75E+01         nd                        4.41E-01         nd                        1.56E+02        nd                        2.16E+02          1.04E+02                   2.85E+02         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   5      23.2135  25.8490    35.1733    1.57E+05         nd                        4.42E+03         nd                        1.42E+02        nd                        6.50E-01          1.72E-01                   7.10E+00         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   25     23.2250  25.8158    35.1736    1.31E+05         nd                        3.07E+03         nd                        3.85E+01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   45     23.3305  25.4752    35.1721    1.44E+05         nd                        1.89E+03         nd                        3.61E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   60     23.6485  24.4974    35.1984    8.21E+04         nd                        6.18E+02         nd                        1.58E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   75     23.9355  23.6800    35.2555    1.06E+05         nd                        3.60E+02         nd                        8.36E-01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   85     24.0850  23.2218    35.2756    1.07E+05         nd                        3.84E+02         nd                        3.37E-01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   100    24.3165  22.4768    35.2975    1.16E+05         nd                        2.18E+03         nd                        1.54E+03        nd                        1.38E+03          5.92E+02                   2.16E+02         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   115    24.4955  21.8828    35.3115    1.89E+04         nd                        5.80E+02         nd                        2.04E+03        nd                        1.00E+03          2.53E+02                   1.10E+03         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   125    24.5875  21.5233    35.3010    1.09E+04         nd                        2.02E+02         nd                        1.54E+03        nd                        3.88E+03          1.16E+03                   1.32E+03         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   150    24.8265  20.4832    35.2415    3.46E+02         nd                        1.99E+01         nd                        5.85E+02        nd                        2.52E+03          5.12E+02                   1.84E+03         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   175    24.9805  19.7192    35.1779    1.39E+02         nd                        1.16E+01         nd                        2.05E+02        nd                        1.69E+02          5.89E+01                   3.77E+02         nd                        
149       22.75      -158        06/20/03   2003  06     20   46224000   200    25.1020  18.9370    35.0718    2.46E+03         nd                        1.01E+01         nd                        8.03E+01        nd                        4.04E+01          9.13E+00                   1.16E+02         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   5      23.2185  26.1559    35.3073    1.76E+05         nd                        4.65E+02         nd                        6.50E-01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   25     23.3015  25.9703    35.3387    1.43E+05         nd                        3.33E+02         nd                        6.50E-01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   45     23.4345  25.6238    35.3701    1.24E+05         nd                        3.46E+02         nd                        6.50E-01        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   60     23.7130  24.6182    35.3319    2.01E+05         nd                        1.48E+03         nd                        1.20E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   75     24.0870  23.3323    35.3216    1.85E+05         nd                        2.99E+03         nd                        5.59E+00        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   85     24.2700  22.6961    35.3197    1.78E+05         nd                        4.29E+03         nd                        1.60E+02        nd                        6.50E-01          0.00E+00                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   100    24.5170  21.7500    35.2922    1.98E+05         nd                        6.66E+03         nd                        2.70E+03        nd                        3.35E+02          6.46E+02                   6.50E-01         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   115    24.6740  21.1047    35.2645    3.24E+04         nd                        1.82E+03         nd                        1.28E+04        nd                        7.10E+02          4.46E+02                   5.26E+02         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   125    24.7590  20.7241    35.2394    5.47E+03         nd                        2.25E+02         nd                        6.84E+03        nd                        8.21E+03          1.75E+03                   1.78E+03         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   150    24.9825  19.4528    35.0908    1.40E+03         nd                        1.15E+02         nd                        1.07E+03        nd                        1.15E+03          6.28E+02                   1.97E+03         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   175    25.1400  18.4436    34.9601    3.29E+01         nd                        4.20E+00         nd                        8.27E+01        nd                        6.52E+00          7.68E+00                   5.19E+02         nd                        
150       22.75      -158        07/20/03   2003  07     20   48816000   200    25.2860  17.3637    34.8046    1.86E+03         nd                        2.26E+01         nd                        5.88E+01        nd                        1.68E+01          9.30E+00                   1.10E+02         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   5      22.8485  26.2356    34.8495    1.88E+05         nd                        4.56E+02         nd                        3.50E+00        nd                        1.94E+01          9.65E-01                   5.88E+00         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   25     22.8565  26.2200    34.8516    1.69E+05         nd                        4.68E+02         nd                        3.91E+00        nd                        3.25E+00          3.48E+00                   6.50E-01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   45     22.9080  26.1490    34.8886    1.46E+05         nd                        5.27E+02         nd                        8.90E+00        nd                        8.23E+00          1.32E+00                   6.50E-01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   60     23.0490  25.7030    34.8912    2.47E+05         nd                        1.14E+03         nd                        1.51E+02        nd                        2.29E+01          5.73E+00                   6.50E-01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   75     23.3190  24.9049    34.9236    1.86E+05         nd                        2.78E+03         nd                        1.42E+02        nd                        2.16E+01          7.79E+00                   1.18E+01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   85     23.5385  24.2705    34.9609    1.81E+05         nd                        2.33E+03         nd                        4.08E+02        nd                        3.33E+01          1.91E+00                   4.00E+00         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   100    23.8045  23.6216    35.0575    1.19E+05         nd                        2.21E+03         nd                        6.82E+03        nd                        7.33E+01          1.76E+01                   4.59E+01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   115    24.0115  22.9704    35.0806    9.66E+03         nd                        2.53E+02         nd                        6.36E+03        nd                        1.58E+02          1.90E+00                   2.65E+01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   125    24.1535  22.5218    35.0977    5.24E+03         nd                        7.29E+01         nd                        5.89E+03        nd                        2.40E+03          3.31E+02                   8.95E+01         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   150    24.4890  21.4188    35.1318    7.35E+02         nd                        3.97E+01         nd                        9.18E+02        nd                        4.05E+03          7.90E+01                   8.71E+02         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   175    24.7520  20.4947    35.1466    6.57E+01         nd                        2.57E+00         nd                        8.79E+01        nd                        1.31E+03          3.25E+02                   1.66E+03         nd                        
151       22.75      -158        08/21/03   2003  08     21   51580800   200    24.9270  19.7623    35.1210    9.76E+00         nd                        5.73E-01         nd                        1.50E+01        nd                        2.84E+02          3.24E+01                   7.16E+02         nd                        
152       22.75      -158        10/15/03   2003  10     15   56332800   5      22.8290  26.7632    35.0443    1.20E+05         nd                        2.89E+02         nd                        1.16E+00        nd                        6.50E-01          nd                         6.50E-01         nd                        
152       22.75      -158        10/15/03   2003  10     15   56332800   25     22.8325  26.7565    35.0449    1.63E+05         nd                        3.84E+02         nd                        2.04E+00        nd                        6.50E-01          nd                         6.50E-01         nd                        
